imdbID,Title,Year,Type,Actors,Director,Plot,Poster,Ratings
tt15739030,"Girls, Be Lucky",2021-,tvSeries,"Haruka Fukuhara, Yumi Wakatsuki, Mizuki Itagaki",,"A comedy drama that depicts three women who are ""the most unlucky in the world"" struggling to get happiness while getting into trouble one after another.",https://m.media-amazon.com/images/M/MV5BY2Y0MWVlN2UtYTFhOC00YmIxLTgxZDAtNmNhOTZiNTZlNWNkXkEyXkFqcGdeQXVyNjMxMTE5NTY@._V1_SX300.jpg,7.9/10
tt21080466,Love in the Time of Revolution,2022,movies,"Uncle Fat, Rai Riya, Mr. Leader",Ngan Twinkle Chi-Sing,"Echoing with voices from the streets of Hong Kong, ""Love in the Time of Revolution"" documents the passion, spirit and sacrifice of ordinary Hong Kongers during a time of political and social upheaval. In 2019, Hong Kong government...",https://m.media-amazon.com/images/M/MV5BMTJjNmM2ZTgtMTNjNy00NmExLWFiZmQtM2Y5NjM1MWNhOGVlXkEyXkFqcGdeQXVyODYwMjg2NzA@._V1_SX300.jpg,
tt22632298,Three Tall Women,2022,movies,"Andrew Iles, Lucy Peacock, Mamie Zwettler",Barry Avrich,"By turns acerbic, anguished and sarcastically funny, an old woman known to us only as ""A"" lays bare her inner life in sometimes shocking detail to two others",,
tt14583676,Sabor a Gol,2021-,tvSeries,"Tomás Olivera, Rodrigo Goldberg, Carla Guerrero",,"Tomás Olivera, prominent national chef, will bring together prominent Chilean football figures to remember stories, open up and cook various dishes, mixing cuisine and the so-called ""passion of crowds"". In each episode, Olivera will ",https://m.media-amazon.com/images/M/MV5BZjFjYzEyYzMtYzMxNi00OWVmLWFhMWQtMDliNmMwYzk4OWFmXkEyXkFqcGdeQXVyODQ0MDYxNDI@._V1_SX300.jpg,4.4/10
tt27694184,Starfall: Martians Rising,2023,movies,Carson Kelly,Carson Kelly,"""The universe is a playground of endless wonder. Let us embrace the adventure that awaits."" 

Carson Kelly Publishing presents ""Starfall: Martians Rising"", an original novel, set to release on June 9th. Stay tuned for more updates on its availability. #STARFALLMartiansRising",https://m.media-amazon.com/images/M/MV5BOTA1ZmU5MjctMGNlMy00MDVhLThhOWYtNGFkZjcwYTMwMTAzXkEyXkFqcGdeQXVyMTM0OTM5MTAz._V1_SX300.jpg,
tt14017408,Lucia's Vegan Lifestyle,2020-,tvSeries,"Lucia Grillo, Stavroula Toska, Mika Altidor",,"Hosted by actress &amp; filmmaker, Lucia Grillo, a near-lifelong vegan, Lucia's Vegan Lifestyle is the only show dedicated to 100% all-around vegan lifestyle - for the animals, for humans, and for the Planet.

Airing on Manhattan Neighbo",https://m.media-amazon.com/images/M/MV5BMWNjMDkyODItZThkMC00ZDE1LWI2NjItY2E5NTkzNjI4ZGNiXkEyXkFqcGdeQXVyMzYxNzU3Nw@@._V1_SX300.jpg,6.6/10
tt1129663,Magyar elsök,2003-,tvSeries,"György Rózsa, Gábor Hevér, Gábor Maday",,"Who did it first in Hungary? When did the first institutions and achievements take place? ""Firsts in Hungary"" is a collection of reenacted historical events illustrated by lots of archive footage from the Hungarian Public Broadcas...",https://m.media-amazon.com/images/M/MV5BYTk1YTZlMWYtZmJhYi00Yjc0LThjYzAtYmM3NzUwNmIyYWU0XkEyXkFqcGdeQXVyMjgyODUxMQ@@._V1_SX300.jpg,
tt10731088,Brainstorm,2019-,tvSeries,Jesse Tayeh,,"Short videos showing real moments of a typical guy's life. Brainstorm takes you on a funny, real, and adventurous journey through the mind of ""I"", your typical every day guy.",https://m.media-amazon.com/images/M/MV5BZGQ0NjM4NjgtYWIxNC00ZTNkLThiYjUtZDIyZDQ4N2U3ODJiXkEyXkFqcGdeQXVyOTEzNTQ4MDA@._V1_SX300.jpg,6.3/10
tt10365912,Becoming Led Zeppelin,2021,movies,,"Bernard MacMahon, Bernie MacMahon","The film will trace the journeys of the four members of the Stairway To Heaven rockers through the music scene of the 1960s and their meeting in the summer of 1968, culminating in 1970.",,50%
tt27694652,Kokan Uso Nikki,2023,movies,"Mizuki Itagaki, Mizuki Kayashima, Nagisa Saito",Kentaro Takemura,"Nozomi Kuroda is in the 2nd grade of high school. One day, she finds a letter in a classroom desk. The letter has only the word ""like"" written on it. The person who wrote the letter is Jun Setoyama, who is the most popular boy at ...",https://m.media-amazon.com/images/M/MV5BYzkzNDBlOTgtNWM3Mi00MzAwLTlhOGItODZlNDdiOWRmMjc5XkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_SX300.jpg,
tt27695005,River,2023,movies,"Riko Fujitani, Manami Honjô, Gôta Ishida",Junta Yamaguchi,"The stage is the long-established Japanese Inn ""Fujiya"" in Kibune, Kyoto. Kibune in a quiet winter. Mikoto, (played by Riko Fujitani) a waitress who works at Fujiya, is called back to work by the proprietress while standing by the...",https://m.media-amazon.com/images/M/MV5BYjc0ZDlmOTItODI2NS00ZTc2LWJjOGYtMTg4OGEzNjBmOGU5XkEyXkFqcGdeQXVyOTUyOTM3MTU@._V1_SX300.jpg,7.5/10
